,title,bid-amount,short-description
0,Online Exam Server Cooridnator,$162 - $203,We require 800+ Online Exam Server Coordinators at PAN India level. The candidate must be a Graduate with 1 Year + experience IT-IMS as a DSE/TSE.
1,Conversion of PDF into WORD,$20 - $169,We would like to change PDF into WORD
2,Dynamics AX 2009,$10 - $30,Good day everyone .. I want someone familiar with dynamics AX 2009 .. I want to print some reports and it shows me that the files are write-protected or in use
3,React and Redux Developer Long term,"$12 / hr
                                (Avg Bid)",We are looking for react experienced developers (Minimum 3~5 years )
4,Arabic >><< French,"$19 / hr
                                (Avg Bid)",I have Arabic  documents want to translate it to French ( human translation )
5,Laravel Project -- 2,"$500
                                (Avg Bid)",look at laravel developer with 20 years experience.
6,Business Strategy Tutor,"$395
                                (Avg Bid)","Hı, I have an upcoming exam and I need a tutor to revise with."
7,We would like to have a (scanned) PDF file convert to a Word file,"$193
                                (Avg Bid)",We would like to have a (scanned) PDF file convert to a Word file
8,ghostwriter -- 2,"$20
                                (Avg Bid)","I need a writer to write me 10k words on communication and relationship, professionals writers  should contact me directly, 
and kindly message me with your previous sample. thanks."
9,Simple models and drawings | Platform parts,"$436
                                (Avg Bid)","Hello, I'm looking for someone who can prepare many simple models and drawings (ca. 500). They have to be made in Solidworks. Please see attached drawings and give Your price per model and drawing.
Thank You in advance."
10,"build Node.js, React.js website.","$1132
                                (Avg Bid)",Look at full stack js developer.
11,I want to upload app on play store,"$5 / hr
                                (Avg Bid)",I need to upload my app on play store.
12,Facebook Ad specialist needed,"$103
                                (Avg Bid)","I am currently running Facebook ads but my ads have lost traction over the past month because of the iOS14 tracking update.  I'm looking for a FB ad specialist who has a solution to work around this update in order to increase my conversion.  Also, any ideas for changes to my ad in order to help decrease my CPC and increase my CPL."
13,c# application development,$20 - $169,"need a developer to assist me
in an application"
14,health insurance  inbound campaign,$2 - $8 / hr,"Health Insurance (Inbound calls)
Minimal call duration: dynamic (120 secs)
apply only if you are experienced"
15,senior php developer needed,"$158
                                (Avg Bid)","you need to make a simple form using php
also you have a good experience with ms access database
this is long term project
only skilled developers!

Best"
16,Build Instagram marketing stories,"$50
                                (Avg Bid)","We require freelancer to design short Instagram story videos. 
Durations -  12 to 15 sec animation video. 
Static background - Office workspace background with laptop in center
Animation - Different dashboards running in laptop screen
Other elements - Word art, music and screen change in end  

I have provided examples for reference."
17,Change website from custom CMS to Wordpress.,"$613
                                (Avg Bid)","I have a website ([login to view URL]) that needs converting from its custom CMS to WordPress. I need every property transferred, images, descriptions, locations, and customer contact forms. . Payment system integrated and the email system set up for new accounts and current customers. This will need to be built on your servers then transferred to mine, once all mods are approved. Milestones will ..."
18,Programming project9333,"$35
                                (Avg Bid)","Programming in VB, python or C# 1. The length of the character sequence after removing all characters that are directly adjacent to the same character as themselves but with opposite casing. You should also check for any such matches that are present in the resulting text after removing a previous match. 2. The length of the shortest possible character sequence with the same rules as Prompt 1 exce..."
19,Laravel Project,$999999999999 - $999999999999999,look at laravel developer with 20 years experience.
20,Logo Design,"$310
                                (Avg Bid)","Hello there,


We are looking for a simple logo designer to design a logo. Reference logo will be provided. Long term work.




Thank you guys"
21,PDF animation,"$11
                                (Avg Bid)",I need PDF animation for short stories for children.
22,Prof. CV writer for consultant/anaylst role,"$90
                                (Avg Bid)","Hi! :) 
I am looking for a professional CV writer who can help me improve my resume. Preferably native english speakers. 

I am looking for a position in Consulting and/or as an Analyst (university background in international commerce and environmental science). 

Looking for a position in the sustainability/environmental field, so if someone has experience in that area I would highly appreciate i..."
23,Webhosting Platform with the same functionality as WHMCS,"$717
                                (Avg Bid)","We are currently looking for a webhosting platform to be build along the same lines as WHMCS. Ideally with a way to whitelabel it. Maybe a template system, plugin system, Hosting platform intergration ( cpanel to start with ) and ability to add different payment gateways ect. This will turn into a multi part project for the right person as we look to expand this platform."
24,Logo Designer who can design a logo with UNIQUE TEXT (Cursive),"$55
                                (Avg Bid)","It is a regional Online Matchmaking company.
want the logo to be in very high quality and UNIQUE.
The sample text is attached to this which is ""Vox"", need almost similar text."
25,Physics Project -- 2,"$18
                                (Avg Bid)",I have a Project related to Physics
26,Unlock Bootloader and Flash MIUI Xiaomi Redmi 6,"$20
                                (Avg Bid)","I have issue with my Xiaomi Redmi 6.
I need someone with  mi account with authorized EDL to solve the problem.
Or expert one who can change from china to global."
27,Build me a sales deck -- 2,"$78
                                (Avg Bid)",We need help with re-phrasing our current sales deck.
28,Ansys software testing on self healing,$22 - $187,Want to learn basic on Ansys software to create a model and stress testing
29,"Writers needed - DENTAL, WOMEN'S HEALTH - possible long-term cooperation -- 2","$83
                                (Avg Bid)","Since I know we're all on our own time budgets, I'll be specific. 
I work for a digital marketing agency, and I'm looking for writers to cover the areas mentioned above. 

Here’s what we’re looking for in a writer:
- reliability and being on time;
- experience in their field, or great research skills to cover other fields;
- quality work that won’t require a lot of..."
30,Game development,"$329
                                (Avg Bid)","I want to hire a game developer who can write a game script that can automatically aim the bow and arrow at the enemy, this is the game link address, [login to view URL]

This is a Chinese website. If you do not understand Chinese, you can open this address. [login to view URL]

The game can also be run on the Steam platform, and its name is Blood of Steel,

The following is the game video I sent,..."
31,"Setup Pickbazar ecommerce Next.js, MongoDB, API","$25 / hr
                                (Avg Bid)","I am lookingfor someone that can setup a template of an Ecommerce with its Admin panel in vercel. 
I need that the database is MongoDB, and of course put to run the API.

There is in plan start doing new features and implementations in a short future, but for now want to see the work if the setup is good made.

Documentation of how to setup is required.

Looking forward for your Bids. :)

template..."
32,react-native trainer,"$169
                                (Avg Bid)",Hi we require react-native trainer for teaching react-native from beginning
33,I need an Interior decorator,$20 - $169,I Have 15×20 feet hall and want fo decorate by interior designer.. further details will be provided...
34,unity vuforia(AR business card),"$406
                                (Avg Bid)","my project is to do a AR business card 
where the user are able to upload word, image , and video into firebase and 
those uploaded thing will appear beside the Business card(save as marker in vuforia database.)"
35,Translation of script from English to Arabic,"$280
                                (Avg Bid)","Hi, I'm looking for a native translator who can translate from English To Arabic - 35 to 140 pages."
36,"True Artist/Illustrator (NO LOGO DESIGNER!) for Artwork of Greek, Nordic, Roman gods and warriors","$41
                                (Avg Bid)","We are a small business in Vienna Austria and need some artwork done. Especially Greek, Nordic, Roman gods with some other drawings for the packaging. 
Usually I am putting designs on my stuff but I decided now to get some drawings by hand done. 
To be more specific I need a true artist who's doing something like you can find on Instagram or Pinterest. 

Here are some examples what I am searc..."
37,Search Engine marketing,"$507
                                (Avg Bid)","SEM Manage end to end campaigns (Strategy, Execution, Optimization and Reporting ) across Search and Social platforms.
Weekly/Fortnightly and monthly reporting of the accounts with data insights."
38,Change background of photos,"$1036
                                (Avg Bid)",We are looking for an EXPERT in picture editing. We want to change background of picture and add a new one created by yourself. Background changed must be absolutely realistic like a photo taken in a street.
39,Design a logo for youtube channel,"$21
                                (Avg Bid)","Hey There,
 I want to get a new logo/emblem for my youtube channel. It's name is: ""Motivational Zindagi"". Here Zindagi means Life. The motto of this channel is to provide motivational content to users, specialized for students of competitive examinations. I'll be expecting a psd file at the end."
40,Swift and Kotlin developers wanted,"$38 / hr
                                (Avg Bid)","PING, an independent Australian digital agency, is seeking a Swift developer and a Kotlin developer on short-term (3 to 4 weeks) contracts to help deliver a project for a multinational client, launching a custom-made app in both Swift and Kotlin. The app will be deployed to millions of users across ANZ and southern Asia in three [login to view URL] connects to a series of back-end REST APIs to do ..."
41,build a simple word press five page site,"$189
                                (Avg Bid)","I have a small business and wish to make a small five page site in wordpress.
I want to have about five pages of content plus a landing page 
I want to be able to edit the text in the future my self
I want it to be secure so people can see it and it has all security protocols in place 
I have the text to be put in the site 
I have pictures of how i want it to look"
42,I need a creative writer- long term purpose,"$293
                                (Avg Bid)","I need you to write a script for stage show. The content should somehow revolve around 'Importance of an old person in a family'. 

The show may be around 30 minutes. So you need to write the script in 7000 words. The characters included in the show should not exceed fifteen. 

I'd like you to provide an outline of the story/script in 50 words. A bit of grammatical errors is accepta..."
43,Html animated single page site needs FE dev -- 2,"$15 / hr
                                (Avg Bid)","We have all the assets, you have the capacity to put them together.

Have you worked on animated web pages before? We are searching for a dev who could help us deliver something like this: [login to view URL]

Please check this video
[login to view URL]

If you are interested, please provide some solid examples of similar pages you have helped to deliver.

A full brief will follow.

Thanks!"
44,Full-stack web developer position.,"$1018
                                (Avg Bid)","We are looking for a full-stack developer to work on our projects.

This is full time job position - 40 hours per week.
Salary: $1000 / per month.

We are looking for a single developer but not a company.

Requirements:
1. Laravel framework
2. MySQL
3. JavaScript, jQuery, vue.js
4. bootstrap css or tailwind css. Understanding responsive web design.
5. git
6. Understanding common OOP design pattern..."
45,C++ Project,"$30
                                (Avg Bid)",I have a project using C++ in implementation of CYK algorithm
46,Convert PDF into word,"$350
                                (Avg Bid)",We would like to convert pdf into a word
47,Looking to buy already built Uber app,"$1458
                                (Avg Bid)","I would like to buy already built uber app. If you have already built it please show it to me. I can buy it for now.

Most features like so:

-Cooker Frontend
 cooker registration/login
 paypal payment integration
 food selection
 Time period selection
 Video/Picture upload

-Customer Frontend
 Food Listing
 Customer registration/Login
 paypal payment
 Food selection
 Time period selection
 Video/..."
48,Report on alternative materials that can be used for car door,"$107
                                (Avg Bid)","I want a 7500 word report to be made and the idea is to investigate which material can be used for the car door. Proposed alternative materials are Carbon fibre, Fiberglass and Plastics. Simulations on Solidworks are already done, that shows the toughness of the materials, and some drop tests"
49,EUROPE | FRANCE ONLY,"$30
                                (Avg Bid)",I need you to copy paste a review I provide. Apply only if you are from Europe.
50,Python Web Scraping from Etoro,"$188
                                (Avg Bid)","I'd like to extract from Etoro favourite item, the last 24 hours changement, and if the value is negative, I want to buy it automatically (at max with the 50% of my budget). And automatically sell it when it regains the lost.
If it's possible..."
51,Senior Frontend Developer (React JS),"$527
                                (Avg Bid)","...apply new concepts, principles, and solutions
• Must have excellent communication skills (verbal and written)

Roles and Responsibilities

• Develop frontend architecture for web applications right from scratch while solving problems related to scalability, performance optimization, and fault tolerance
• Convert product specs to tech specs
• Write effective"
52,Solid React/WebGL/Three.js Developer for interactive web pages development,"$462
                                (Avg Bid)","Looking to hire an ...React/WebGL/[login to view URL] developer (R3F library or Vanilia [login to view URL] ok!) for interactive web pages development.
The candidate should have proven experience in interactive graphic animation development with [login to view URL] and WebGL.
Our technical stack is React for the front-end web pages.
We will start with the right candidate immediately!"
53,Paginas web para alojamiento turisticos y pequeños hoteles,"$563
                                (Avg Bid)","Necesitamos un diseñador web o persona con experiencia en la creacion de paginas web, seria para propiedades turisticas y pequeños hoteles con plantillas wordpress o wix."
54,Web Scraping,"$16 / hr
                                (Avg Bid)",I need to pull public data from [login to view URL] into a spreadsheet.  I need all Actively Registered entries and to pull certain data points from the site.  This is step one in a multiple step process.
55,Data entry and scraping,"$2 / hr
                                (Avg Bid)","I need to extract data & leads for some names, address, City, MD/CEO name, MD/CEO mail id, phone number and website. Further details will be provided on chats. NOTE: Please make sure that you're available & willing to appear for a sample test for the project. 50 leads will be asked to scraped prior awarding. It's a long term project with weekly remunerations. Experienced freelanc..."
56,Private project or contest #30089099,,Please Sign Up or Login to see details.
57,WordPress - LCP Fix - Pass: Google Core Web Vitals - Optimization,"$20 / hr
                                (Avg Bid)","...which will include the Core Web Vitals is expected to launch mid-June of this year. This is expected to have a significant impact on websites ranking and their metrics.

Google defines ""Page Experience"" as a mix between ""Core Web Vitals"" and ""Mobile Usability"" statistics. The site in question is currently passing DESKTOP ""Core Web Vitals&q..."
58,Looking for Web developer,"$471
                                (Avg Bid)","Hi, I am looking for web developer who has great experience in web development for ongoing project. You should  be able to start immediately. Happy bidding!"
59,System for editing and saving full web articles.,"$1575
                                (Avg Bid)",...input full url address of article. System will load this article and user will be able to interact with this article because all web page have cookie window which user must confirm before entering web page also some news web sites have button for expanding for full article therefore our system must be able to click on these button and confirm this click
60,Web Expert with Rust skills - Want to start immediately(India/Pakistan),"$1116
                                (Avg Bid)","We are seeking a skilled Rust developer who can assist in the development of an ongoing project.
Must have the following knowledge/experience with
- MySQL
- Curl
- Rust
- frontend development

Want to start immediately. This will be an ongoing-based contract and all tasks will be proceed based on a milestone."
61,I am looking a senior Woocommerce developer.,"$20 / hr
                                (Avg Bid)","...years ahead.
What we need is a collaborator that can fulfill a role with us.
RESPONSIBILITIES:

• Managing, developing and maintaining our company and eCommerce web sites
• Develop new web sites, including landing sites/campaign sites
• Identify, initiate, integrate and deploy online marketing tools
• Suggest necessary improvements and upgrades (speed"
62,Web designing,"$1979
                                (Avg Bid)","Hello everyone,am looking for a good and trustworthy freelancer who can design a web for music."
63,show some columns and hide some columns asp.net vb web application,"$24
                                (Avg Bid)",the work will be done through TeamViewer thanks
64,deploying ML NLP model based on Bert (scibert),"$292
                                (Avg Bid)","I already have a code and a working model - it runs locally - but i'd like to make it into a web application - I have flask files to work on heroku - however Heroku cannot host 1.2 gig Bert (its a scibert - can't do [login to view URL]). I have tried s3 bucket.

The ml project is creating highlights from science papers. It is made out of sci bert.

Deliverables"
65,Data Extracting or scraping,"$256
                                (Avg Bid)",Need someone to extract the data
66,I am looking for expert with Scraping and AWS,$30 - $250,"I am just looking for ONLY expert in AWS and scraping.
please post bid if you are real expert and discuss in detail over chat."
67,qa tester for web and app,"$275
                                (Avg Bid)",we are looking QA for our website and application.
68,ASP MVC Dating Web Application,"$808
                                (Avg Bid)","...requirements carefully before bidding. I am only looking for serious bidders. High level requirements are below but more specific requirements are in the attachment.

I need a dating web application that is similar to match.com. I need all the features from that site such as (but not limited to these features only):

1. Account Management (Registration, Forgot"
69,Create a Logo,"$10
                                (Avg Bid)","I am looking for a logo for my business: Hussain Technologies. I provide software and web development services. Please create an appealing and beautiful logo. Logo should not be a simple business name written. It should be creative. Color scheme should be the same as of the current Digeco logo on my website ([login to view URL]). 
Logo file sizes:
Colored"
70,Design a web font (single letter) that can be used in game,"$28
                                (Avg Bid)","I would like a letter in a custom font that can be used online. If you visit this webstie [login to view URL] you will see that you can get fancy fonts for any given letter, I would like one custom made for me (just a letter) but I must be able to use it online."
71,Data Entry & scraping task,"$2 / hr
                                (Avg Bid)","I need to extract data & leads for some names, address, City, MD/CEO name, MD/CEO mail id, phone number and website. Further details will be provided on chats.

NOTE: Please make sure that you're available & willing to appear for a sample test for the project. 50 leads will be asked to scraped prior awarding. 
It's a long term project with weekly remunerations. Experienced freela..."
72,LCP &  CLS Fix and Pass Google Core Web Vitals,$8 - $20,Seeking for Expert Web Developer to fix Core Web Vitals Google Update which come recently and pass google page speedcore web vitals test such as LCP & CLS.
73,re-build web site,"$1104
                                (Avg Bid)",we sell industrial replacement knives and cutters made in Germany.  knives used in printing and packaging.  in business 36 years.  old web sire needs to be replaces.
74,Web search/data entry work for company diversity data collection,"$18 / hr
                                (Avg Bid)","You will be responsible for collecting board member/executive diversity data, overall workforce representation data, diversity program data, diversity partner data, and diversity pledge data for 160 financial services companies and entering them into an excel template. Your data will contribute to assessing Diversity, Equity and Inclusion (DEI) efforts being made in the financial industry."
75,Bet365 live odds scraping with Selenium  Web Driver + Java,"$190
                                (Avg Bid)","I need a java program for scraping odds from bet365 live events (the list of all events can be found at [login to view URL]
 I need to enter each event and take the odds). The technology to use is the Selenium library for Java"
76,Web application for discount cards in Passbook and Wallet -- 2,"$1221
                                (Avg Bid)","Software required to create, distribute, modify and manage e-loyalty cards for Passbook (iOS Apple) and Wallet (Android) apps.

Required functionality:
1. User registration
2. Registration of cards in Passbook and Wallet services for the user
3. Administration of the issued cards list
4. Updating cards data
5. Adding custom fields and displaying on the card
6. Sending PUSH notifications"
77,Implement 4 front end web pages,"$185
                                (Avg Bid)","We need to have 4 web pages implemented in HTML, CSS and javascript/jQuery.
You can find attached the JPG version of the pages with functionality explained."
78,Need a tech lead for web app project,"$321
                                (Avg Bid)","I am looking for a tech lead for a web app project  (long term, based out of India) . Experience in web design, JS frameworks, JS charting libraries (good to have) is required. Python experience is good to have. You will lead the tech side of project from the ground up, with occasional assistance from me as and when needed. Monthly compensation and"
79,Web Content---Native USA writers only,"$70
                                (Avg Bid)","We are looking for native USA content writer who can write web content for our moving site. Writer must have engaging writing skill. Our rate is fixed $15/500 words. Only Bid if you agree with the rates. We will discuss more project in detail with a selected bidder..

Thank you"
80,I am developing a native mobile app and a web app for a project. Need a resource that has experience in developing applications in mendix as well as experience in setting up Mendix on-premise.,"$150
                                (Avg Bid)",Need help troubleshooting the app and setting up mendix on-premise
81,Web and Mobile UI Designer,"$223
                                (Avg Bid)","...We are looking for top class UI/UX designer for our product. We have existing UI. We need to improve the UI in latest trends with global standard.

You must experience with web Admin UI  and Mobile UI

We need to design following pages 
Login 
Register
Dashboard
Order Management
Customer Management
Form page
Setting page
Profile page
CMS page
Report"
82,MS Project Online and Power Bi Integration,"$1523
                                (Avg Bid)","This is resource Management task, using Project online (Ms project web version) with Power BI"
83,Web Designer/ Digital Marketing,"$105
                                (Avg Bid)","I am looking web designer having very good knowledge of .Net Wordpress, HTML, JS. Its contact basis work. I prefer a good experience consultant."
84,create scraper for yelp,"$178
                                (Avg Bid)","I need python scraper for yelp, using Yelp api or any other way (like ip rotation).. 
Scraping based on search query. 
Return businesses details, and customers comments, and (pictures by customers if possible).
The code should return the whole number of search results, not part of it.
Data scraped need to be stored in csv or json.
Please type ""yelp"""
85,Web Development Task,"$52
                                (Avg Bid)",Web Development Task need to be [login to view URL] files are attached.
86,web content writer Needed in Swedish,"$65
                                (Avg Bid)","Writing content for a photography website in Swedish.
need a familiar person with Swedish culture and business .
familiar with SEO. Creative person. Familiar with media business."
